,ID,comment
0, seoyeon kim  ,진짜 광기다 광기
1, 치킨  ,원래 선했는데 무슨 계기로 실험하다 미쳐버린 과학자같음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ겁나 찐 광기다 이건
2, Yangseon KIM  ,ㅋㅋㅋㅋㅋ사장이 미쳤대서 와봤음 ㅋㅋㅋㅋ노래도 비장하네 ㅋㅋㅋㅋㅋㅋㅋ
3, 김소정  ,한편으로는 부럽기도 하네.. 생산품에 대한 오너의 자신감이... 후덜덜
4, 김춘식  ,볼보 찐 광기 보고 왓읍니다..
5, ᄋ  ,최신댓글 다 from south korea 인거 왜 웃기냐곸ㅋㅋㅋㅋㅋㅋ 광기를 사랑하는 나라..
6, Garden Nandana  ,제대로 미친다는게 이런거군ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 멋있다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7, 김세연  ,"사장 멘트 까지 "" 트럭이 5대~"" 하면 완-벽"
8, Wasmachineman  ,Oh god Volvo Trucks is at it again: making a completely ridiculous commercial for their trucks. LOVE IT!
9, Casino Land - Casino Streamer  ,"Now you guys need two set ups like this, moving together, Van Damme doing his split between them and Roger Alm sitting on his shoulders :)"
10, Sz Mihály  ,"Imagine. They start a meeting about new commercial to their new trucks.- Make a 4 truck tall truck-tower...- .... hmm. And what if we put Roger on the top of it?- Okay, do this sh*t!"
11, 미니모니마니  ,아 스바 개웃기네 ㅋㅋㅋㅋㅋㅋ뭔데 노래랑 CG 쓸데없이 ㅈㄴ웅장하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 개웃겨
12, 최ᄋᄋ  ,아니 사장님 꼭 그래야 했습니까 ㅋㅋ
13, The-Scop 1  ,Marketing Department back at it again!!!
14, 앱삭제  ,진짜 광기;;
15, 미니모니마니  ,마 이게 찐광기다.......
16, 맹효HYO  ,자부심보소....
17, Peter - Kåre Skak Pedersen  ,Volvo and Hollywood merges. Brilliant marketing is carried out here.
18, 김지민  ,와 저 정도는 돼야 사장하는 건가;;;;와우....
19, 정모아  ,이게 그 찐광기 ...
20, a a  ,진짜광기
21, yejin park  ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ본인은 볼보가 아니잖아요 ㅠ 진짜 뼈끝까지 볼본가보네..
22, kitti burana  ,"This song is ""Conquest of Paradise"" by Vangelis"
23, J L  ,볼보 ceo mbti 뭘까요..
24, Dmytro Gubskyi  ,"No one in the world:Volvo Trucks markiting department: ""I have an idea..."""
25, Addlyn K  ,와 미쳤닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대단해............ 이게 가능하구나
26, Don vellathottam  ,Volvo knows how to do commercials
27, ᄒ무소식이 He’s so sick  ,사장님 찐광기 보소ㅋㅋ
28, anoderone  ,That the president of the company showed such perfect confidence in the work of all the employees is something they can all be proud of.
29, Andreas Karlsson  ,This is how you make a commercial
30, 선주영  ,People : Who is he???? : our BossPeople : what ???
31, Bongsule Raffaellu  ,뭐여 ㅋㅋㅋㅋㅋㅋㅋㅋ미친ㅋㅋ
32, Favor Joshua  ,Volvo's ad creativity is second to none! Makes me wish its a whole movie! ❤🙌👍👍🙌💖
33, Johanna Ruohoniemi  ,Quite happy to be a part of this. :)
34, seoyeon kim  ,본인이 출연하겠다고 직접 말했겠지..? 진짜...어휴휴
35, Trucker Dashcam // Sweden  ,"Hahaha, wow!!Volvo and awesome commercials goes hand in hand as Always! 😎Alm took on the shape of Oden!"
36, 수수수  ,사장님이 미쳤어요악 타이어 사장님 심장보다 싸다!
37, UK Haulier  ,Bloody brilliant!
38, paulo62300  ,"one of the best commercials of all time!  I want to buy a Volvo.  I love Volvo Trucks, I love Vangelis!  EPIC"
39, Kemény Tibor  ,"One day, I might have a billion-dollar enterprise corporation. I promise, you can make all my commercials. I'm a huge fan of your work since THE SPLIT"
40, Krystain Jóźwiak  ,"I am writing this comment when the movie is not yet 100 million views, and when people do not parody it yetNice job VOLVO!👋😎👊❤😅🤔👍"
41, K루민  ,미쳤닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미쳐버린 과학자같아. 내 로망이다
42, Titan Xing  ,The Volvo CEO stand on top the tower just like tell everyone I am ready for new future.I hope Volvo FH16 have more horsepower than 750HP.And I think FMX new 38 tons axle was cool too.
43, BASITH PH  ,"After the Epic Split, this is like the coolest ad ever🔥"
44, Ofentse Mwase Films  ,Why didnt this go viral? It's kinda insane lol
45, Amir Bahari  ,My heart goes out to unveiling .Volvo FH as soon as possible
46, jkwtu  ,"volvo, always innovating in an epic way!"
47, Juliano dos Santos Rocha  ,Sensacional!!! Sem palavras!
48, Luís Henrique Schmidt  ,Departamento de marketing Volvo sempre conseguindo nos surpreender 👏👏👏
49, Rares Lungu  ,At least they have real mirrors. Great job Volvo ! <3
50, Enjoy RC life in korea  ,"Awesome!! Volvo truck towerSomeday, I want make RC volvo truck tower.. but must make four volvo truck."
51, ON ARK  ,awesome truckawesome musicawesome ceoawesome volvo'ㅅ' b
52, Camelia Ilie  ,I LOVE IT! OMG!
53, 위드  ,ㅋㅋㅋㄱㅋㅋ어케올렸누
54, Azza Ohlson  ,I'm so proud to be part of this!  Love Volvo Group!
55, Backmans Garage  ,Riktigt bra jobbat :)
56, Vladislav Khadzhynov  ,"It's like, get up from the dead)) King of the night :D"
57, akekarat pattrasitidecha  ,The dog is AMAZING!!!!
58, freightliner pate  ,"That's a rigid cab, now I want one"
59, musa kiema  ,More lighting less darkness for many to truly appreciate the ad
60, vysakh p viswanath  ,I'm just here for vangelis.Love from #india മലയാളി
61, meghna jain  ,proud to be part of Volvo <3
62, 도깨비깨비  ,0:02 개 간지 ㅋㅋㅋㅋㅋㅋㅋ
63, Jeremy Lee  ,Volvo commercial: some guy must stand on my truck.
64, JUICYJUICE  ,I'm so confuses what is happening 😂
65, hyesun jung  ,Marketing team knows how to work....respect!
66, Worm Hole  ,Seriously?! Fcking amazing! I'm now into the AD
67, 철스 cheols  ,볼보 미쳤다 정말!! fucking awesome!!
68, CollinstheClown  ,Classic Volvo!
69, Johnnyxp64  ,the boss must be heavy! lol :)
70, Дмитрий Плетин  ,OMGGG!!!!! Bless all the team who imagine and made this commercial!!!!! AWESOME!!! EPIC!!! GENIUSLY!!!😭✨ And also Engineering dep. who developed these trucks!!!
71, 반반  ,This is how our mafia works:
72, bingo009hsu  ,哇哇哇❤
73, Tractors Chemer  ,Crazy. :D
74, Richard Letterman  ,I thought this was something from the Onion
