,ID,comment,like_num
0, Ji na  ,삼성은 기억하라!!! 사람들은 !!!! 디자인에 약하다!!!!!!!!!!,"
        18
      "
1, kakakk oau  ,용달 블루 색상 뽑던 삼성이 맞나?가슴이 웅장해 진다,"
        123
      "
2, IKO SE  ,근데 색깔좀 약간 아이폰11처럼 파스텔톤의 뽀샤시한 색깔 좀 낼 수 없나..? 맨날 중후한 색 아니면 너무 튀는 색만 내는듯..,"
        169
      "
3, 중붕이  ,s6감성의 광고도 만들어줘...기능도 좋지만 이제 삼성은 감성을 팔아야 할 거 같아...,"
        104
      "
4, 홍신연  ,태어나지못한 11 12 13 14 15 16 17 18 19 의 저주로 인덕션이 저리 커지고 카툭튀도 툭 튀어나온건가... 색은 참 이쁘다,"
        56
      "
5, 앙추워  ,울트라만 진짜 노트... 그냥 노트 가격 오른거라고 봐야함,"
        95
      "
6, NoSee LongTime  ,영화관에서 자주 보겠군,"
        72
      "
7, lecwin1  ,기울어진 운동장 에디션... ㅋㅋㅋㅋ,"
        10
      "
8, 김가은  ,이거 ㄹㅇ 실물로보면 카툭튀 개오진대요,"
        3
      "
9, 임재현  ,ㅅㅂ 노트20을 보급폰으로. 만들어버리네.....,"
        26
      "
10, 가현  ,노트10이나 벨벳처럼 카메라부분만 튀어나오게 하고 플래시랑 센서까진 안 튀어나오게 할 순 없었나?색은 예쁨,"
        17
      "
11, 백경 1016  ,버즈 라이브만 볼땐 색이 이상했는데 노트를 보니 이뻐보이네..,"
        36
      "
12, 아린인서울  ,썸네일 색감이 너무 예쁘다 약간 왕관느낌이라해야되나,"
        43
      "
13, HOLY SNOW  ,카툭튀 진짜 개에반데ㅋㅋㅋㅋ 디자인팀 뭐하냐 진짜,"
        16
      "
14, 우리엄마  ,카툭튀 ㄹㅇ 실화냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"
        18
      "
15, 김예준  ,다좋은데....울트라하고 일반 급나누기가 너무 심한거같음....,"
        48
      "
16, 이지연  ,카툭튀보고 내 노트10플러스를 칭찬한다,"
        3
      "
17, DINO gaejjeoneun  ,s30쯤가면 카툭튀두께랑 폰두께랑 비슷해질듯ㅋㄱㅋㄱㅋㅋ,"
        1
      "
18, 와맙소사  ,난 줌필요도없고.. 노트10플 사길잘했다 후,"
        39
      "
19, 김희진  ,우와... 갖고싶어요 삼성 대박 쩔어,"
        2
      "
20, GAM YUN  ,오 쉿 노트 10플러스 사놓길 잘했다 ㅋㅋㅋ,"
        30
      "
21, 형민  ,근데 노트 콘텐츠가 이젠 다 떨어져가나봐왜 이전이랑 똑같은거 같냐,"
        31
      "
22, 두두  ,카톡튀 너무 심한데 그냥 노트20 울트라랑 스펙차이도 심하고 아니면 노트20 99만원이라고 하면 진심 대박이라고 할텐데 아쉽,"
        1
      "
23, 백련  ,이거 이번에 예약했는데 화이트가 진짜 예쁘더라구요 ㅎ 근데 개인적으로 카툭튀 너무 심해요 .. ㅠ,"
        1
      "
24, 룽지누  ,이번에 색깔은 진짜 예쁘게 잘 뽑았다고 생각해요. 브론즈인가 금색 존예ㅠㅠㅠㅠ,"
        1
      "
25, 라라  ,"폰 색 이쁜거 좀 내줬으면,, 삼성 폰색 누가 내는 거?","
        1
      "
26, 후독  ,디자인이 어케 가면갈수록 파국이누,"
        3
      "
27, 햄도그  ,진짜 나머지는 너무 좋고 만족하거든요 삼성페이사랑하고요카툭튀랑 인덕션이ㅠㅠ..........렌즈 한개만 있어도 잘 쓸 수 있는데.... . . .,"
        33
      "
28, 이름  ,이번 갤노트20 카메라 카툭튀 말고는 괜찮게 나온듯 브론즈 색깔도 예쁘고 링처리도 자연스럽게 했고,"
        1
      "
29, Recircle  ,고동진 사장 다시 데리고와ㅠㅠ,"
        0
      "
30, 최규현  ,카툭튀 ㅈㅈ,"
        1
      "
31, 악동데빌  ,미안하다 카툭튀 보여주려고 어그로 끌었다,"
        1
      "
32, Hoon Park  ,구......구려!!!,"
        2
      "
33, ..  ,별로임 카툭튀 초록색은 애플이 더 예쁜거가타요...,"
        5
      "
34, ᄋᄋ  ,색깔 넘흐 이뻐ㅠㅠ,"
        0
      "
35, 민트초코의 한  ,울트라랑 노트랑 완전 다르잖아요. 그냥 갤럭시 노트 20 울트라라고 말해주세요.,"
        12
      "
36, 우주최강와꾸GAMES TV_먹방채널  ,진짜 멋지다,"
        0
      "
37, 김대현  ,와 왜캐 이뻐,"
        1
      "
38, Seung-jae Lee  ,고사장님 그립습니다ㅜㅠ돌아와요,"
        1
      "
39, 아노피  ,바꾸고 싶어도 좆도 비싼 5G요금제 으악 내눈을 외치게 만드는 카메라...제발 인덕션 같은 디자인 버리자ㅜㅜ,"
        1
      "
40, jiu jitsu player MMA life  ,아직 노트10 할부 많이 남았어용... ㅠㅠ,"
        0
      "
41, 이미란  ,"ㄷ.ㄷ,ㄴ.ㅊ.ㄷ.ㄴ.ㅌㆍ.ㅌ,ㆍ튼.","
        0
      "
42, 로겐  ,문제는 저 브론즈 판대기가 플라스틱이라는 점ㅋㅋㅋㅋ,"
        4
      "
43, 어 님 폰에 머리카락 붙은듯  ,와 진짜 노트충이여서 노트만 보면 환장을 하는데 진짜 ㄷㄷ 지금 노트10+쓰고 있찌만 너무 탐나는걸...,"
        0
      "
44, 박심바  ,이번엔 바꿀만한 차이를 만들어냈네,"
        1
      "
